"","treatment","group_id","group_estim","true_prob"
"218","ftf_ha","vh7ies5g",0.75,0.8
"219","ftf_ha","vh7ies5g",0.1,0.2
"220","ftf_ha","vh7ies5g",0.3,0.3
"221","ftf_ha","4hoth10c",0.9,0.7
"222","ftf_ha","4hoth10c",0.1,0.4
"223","ftf_ha","4hoth10c",0.07,0.2
"224","ftf_ha","4hoth10c",0.37,0.45
"225","ftf_ha","4hoth10c",0.37,0.55
"226","ftf_ha","4hoth10c",0.85,0.9
"227","ftf_ha","4hoth10c",0.57,0.3
"228","ftf_ha","4hoth10c",0.17,0.1
"229","ftf_ha","4hoth10c",0.62,0.6
"230","ftf_ha","4hoth10c",0.92,0.8
"231","ftf_ha","se35up96",0.65,0.6
"232","ftf_ha","se35up96",0.85,0.7
"233","ftf_ha","se35up96",0.55,0.3
"234","ftf_ha","se35up96",0.3,0.4
"235","ftf_ha","se35up96",0.7,0.8
"236","ftf_ha","se35up96",0.68,0.9
"237","ftf_ha","se35up96",0.2,0.45
"238","ftf_ha","se35up96",0.27,0.55
"239","ftf_ha","se35up96",0.2,0.1
"240","ftf_ha","se35up96",0.02,0.2
"241","ftf_ha","yeq23hvc",0.2,0.1
"242","ftf_ha","yeq23hvc",0.12,0.2
"243","ftf_ha","yeq23hvc",0.65,0.9
"244","ftf_ha","yeq23hvc",0.15,0.4
"245","ftf_ha","yeq23hvc",0.45,0.6
"246","ftf_ha","yeq23hvc",0.35,0.45
"247","ftf_ha","yeq23hvc",0.85,0.8
"248","ftf_ha","yeq23hvc",0.25,0.55
"249","ftf_ha","yeq23hvc",0.55,0.3
"250","ftf_ha","yeq23hvc",0.7,0.7
"251","ftf_ha","b9msp3lz",0.68,0.9
"252","ftf_ha","b9msp3lz",0.7,0.7
"253","ftf_ha","b9msp3lz",0.32,0.4
"254","ftf_ha","b9msp3lz",0.6,0.3
"255","ftf_ha","b9msp3lz",0.45,0.55
"256","ftf_ha","b9msp3lz",0.3,0.2
"257","ftf_ha","b9msp3lz",0.45,0.6
"258","ftf_ha","b9msp3lz",0.38,0.45
"259","ftf_ha","b9msp3lz",0.6,0.8
"260","ftf_ha","b9msp3lz",0.38,0.1
"261","delphi","hk32vt81",0.66,0.8
"262","delphi","hk32vt81",0.4925,0.4
"263","delphi","hk32vt81",0.4875,0.1
"264","delphi","hk32vt81",0.56,0.55
"265","delphi","hk32vt81",0.695,0.9
"266","delphi","hk32vt81",0.3375,0.2
"267","delphi","hk32vt81",0.475,0.45
"268","delphi","hk32vt81",0.5375,0.3
"269","delphi","hk32vt81",0.64,0.6
"270","delphi","hk32vt81",0.825,0.7
"271","delphi","8e2uu05z",0.6,0.55
"272","delphi","8e2uu05z",0.6825,0.8
"273","delphi","8e2uu05z",0.5,0.45
"274","delphi","8e2uu05z",0.45,0.4
"275","delphi","8e2uu05z",0.65,0.6
"276","delphi","8e2uu05z",0.555,0.3
"277","delphi","8e2uu05z",0.6125,0.9
"278","delphi","8e2uu05z",0.475,0.1
"279","delphi","8e2uu05z",0.38125,0.2
"280","delphi","8e2uu05z",0.675,0.7
"281","delphi","60l9m3sz",0.7,0.8
"282","delphi","60l9m3sz",0.7125,0.7
"283","delphi","60l9m3sz",0.3375,0.1
"284","delphi","60l9m3sz",0.4125,0.45
"285","delphi","60l9m3sz",0.625,0.6
"286","delphi","60l9m3sz",0.625,0.3
"287","delphi","60l9m3sz",0.2125,0.2
"288","delphi","60l9m3sz",0.45,0.55
"289","delphi","60l9m3sz",0.375,0.4
"290","delphi","60l9m3sz",0.7,0.9
"291","delphi","510zeho1",0.7275,0.7
"292","delphi","510zeho1",0.36,0.4
"293","delphi","510zeho1",0.425,0.3
"294","delphi","510zeho1",0.57,0.8
"295","delphi","510zeho1",0.5275,0.55
"296","delphi","510zeho1",0.3875,0.2
"297","delphi","510zeho1",0.4775,0.45
"298","delphi","510zeho1",0.445,0.1
"299","delphi","510zeho1",0.5425,0.9
"300","delphi","510zeho1",0.5475,0.6
"301","delphi","aqk02owt",0.245,0.2
"302","delphi","aqk02owt",0.49,0.6
"303","delphi","aqk02owt",0.4975,0.1
"304","delphi","aqk02owt",0.405,0.4
"305","delphi","aqk02owt",0.3925,0.3
"306","delphi","aqk02owt",0.515,0.8
"307","delphi","aqk02owt",0.5625,0.9
"308","delphi","aqk02owt",0.37,0.55
"309","delphi","aqk02owt",0.3875,0.45
