"","treatment","group_id","group_estim","true_prob"
"308","delphi","hk32vt81",0.5375,0.3
"309","delphi","hk32vt81",0.64,0.6
"310","delphi","hk32vt81",0.825,0.7
"311","delphi","8e2uu05z",0.6,0.55
"312","delphi","8e2uu05z",0.6825,0.8
"313","delphi","8e2uu05z",0.5,0.45
"314","delphi","8e2uu05z",0.45,0.4
"315","delphi","8e2uu05z",0.65,0.6
"316","delphi","8e2uu05z",0.555,0.3
"317","delphi","8e2uu05z",0.6125,0.9
"318","delphi","8e2uu05z",0.475,0.1
"319","delphi","8e2uu05z",0.38125,0.2
"320","delphi","8e2uu05z",0.675,0.7
"321","delphi","60l9m3sz",0.7,0.8
"322","delphi","60l9m3sz",0.7125,0.7
"323","delphi","60l9m3sz",0.3375,0.1
"324","delphi","60l9m3sz",0.4125,0.45
"325","delphi","60l9m3sz",0.625,0.6
"326","delphi","60l9m3sz",0.625,0.3
"327","delphi","60l9m3sz",0.2125,0.2
"328","delphi","60l9m3sz",0.45,0.55
"329","delphi","60l9m3sz",0.375,0.4
"330","delphi","60l9m3sz",0.7,0.9
"331","delphi","510zeho1",0.7275,0.7
"332","delphi","510zeho1",0.36,0.4
"333","delphi","510zeho1",0.425,0.3
"334","delphi","510zeho1",0.57,0.8
"335","delphi","510zeho1",0.5275,0.55
"336","delphi","510zeho1",0.3875,0.2
"337","delphi","510zeho1",0.4775,0.45
"338","delphi","510zeho1",0.445,0.1
"339","delphi","510zeho1",0.5425,0.9
"340","delphi","510zeho1",0.5475,0.6
"341","delphi","aqk02owt",0.245,0.2
"342","delphi","aqk02owt",0.49,0.6
"343","delphi","aqk02owt",0.4975,0.1
"344","delphi","aqk02owt",0.405,0.4
"345","delphi","aqk02owt",0.3925,0.3
"346","delphi","aqk02owt",0.515,0.8
"347","delphi","aqk02owt",0.5625,0.9
"348","delphi","aqk02owt",0.37,0.55
"349","delphi","aqk02owt",0.3875,0.45
"350","delphi","aqk02owt",0.7675,0.7
"351","delphi","myrrmp37",0.38,0.1
"352","delphi","myrrmp37",0.2,0.2
"353","delphi","myrrmp37",0.3625,0.55
"354","delphi","myrrmp37",0.775,0.7
"355","delphi","myrrmp37",0.4,0.45
"356","delphi","myrrmp37",0.62,0.9
"357","delphi","myrrmp37",0.5375,0.3
"358","delphi","myrrmp37",0.775,0.8
"359","delphi","myrrmp37",0.3125,0.4
"360","delphi","myrrmp37",0.62,0.6
"361","delphi","v94yqmjr",0.775,0.7
"362","delphi","v94yqmjr",0.4625,0.1
"363","delphi","v94yqmjr",0.5375,0.55
"364","delphi","v94yqmjr",0.5125,0.45
"365","delphi","v94yqmjr",0.2875,0.2
"366","delphi","v94yqmjr",0.5,0.4
"367","delphi","v94yqmjr",0.66,0.8
"368","delphi","v94yqmjr",0.5675,0.9
"369","delphi","v94yqmjr",0.4625,0.3
"370","delphi","v94yqmjr",0.5625,0.6
"371","delphi","ob862a2b",0.155,0.2
"372","delphi","ob862a2b",0.485,0.55
"373","delphi","ob862a2b",0.275,0.4
"374","delphi","ob862a2b",0.335,0.45
"375","delphi","ob862a2b",0.35,0.1
"376","delphi","ob862a2b",0.74,0.8
"377","delphi","ob862a2b",0.5875,0.9
"378","delphi","ob862a2b",0.69,0.7
"379","delphi","ob862a2b",0.52,0.6
"380","delphi","ob862a2b",0.53,0.3
"381","delphi","1t5m1g3x",0.6875,0.9
"382","delphi","1t5m1g3x",0.3625,0.2
"383","delphi","1t5m1g3x",0.6125,0.55
"384","delphi","1t5m1g3x",0.755,0.7
"385","delphi","1t5m1g3x",0.5825,0.3
"386","delphi","1t5m1g3x",0.5,0.4
"387","delphi","1t5m1g3x",0.7375,0.8
"388","delphi","1t5m1g3x",0.58,0.6
"389","delphi","1t5m1g3x",0.5325,0.45
"390","delphi","1t5m1g3x",0.4725,0.1
"391","delphi","zvtdvts4",0.7725,0.8
"392","delphi","zvtdvts4",0.4575,0.6
"393","delphi","zvtdvts4",0.6125,0.9
"394","delphi","zvtdvts4",0.0325,0.2
"395","delphi","zvtdvts4",0.4275,0.45
"396","delphi","zvtdvts4",0.29,0.1
"397","delphi","zvtdvts4",0.505,0.55
"398","delphi","zvtdvts4",0.545,0.3
"399","delphi","zvtdvts4",0.3775,0.4
"400","delphi","zvtdvts4",0.855,0.7
"401","delphi","cs14shw8",0.2375,0.2
"402","delphi","cs14shw8",0.3675,0.1
"403","delphi","cs14shw8",0.459375,0.45
"404","delphi","cs14shw8",0.5375,0.9
"405","delphi","cs14shw8",0.405,0.55
"406","delphi","cs14shw8",0.7925,0.7
"407","delphi","cs14shw8",0.355,0.4
"408","delphi","cs14shw8",0.5125,0.6
"409","delphi","cs14shw8",0.875,0.8
"410","delphi","cs14shw8",0.55,0.3
"411","delphi","dx72p654",0.5125,0.9
"412","delphi","dx72p654",0.5275,0.6
"413","delphi","dx72p654",0.6675,0.8
"414","delphi","dx72p654",0.2825,0.2
"415","delphi","dx72p654",0.5375,0.3
"416","delphi","dx72p654",0.46,0.45
"417","delphi","dx72p654",0.87,0.7
"418","delphi","dx72p654",0.5475,0.55
"419","delphi","dx72p654",0.375,0.4
"420","delphi","dx72p654",0.3425,0.1
"421","delphi","8v998nv2",0.5375,0.6
"422","delphi","8v998nv2",0.745,0.8
"423","delphi","8v998nv2",0.455,0.4
"424","delphi","8v998nv2",0.45,0.55
"425","delphi","8v998nv2",0.6125,0.9
"426","delphi","8v998nv2",0.5,0.45
"427","delphi","8v998nv2",0.64,0.7
"428","delphi","8v998nv2",0.25,0.2
"429","delphi","8v998nv2",0.4875,0.3
"430","delphi","8v998nv2",0.4,0.1
"431","delphi","edywfkbd",0.38,0.45
"432","delphi","edywfkbd",0.5625,0.3
"433","delphi","edywfkbd",0.425,0.55
"434","delphi","edywfkbd",0.72,0.8
"435","delphi","edywfkbd",0.2725,0.2
"436","delphi","edywfkbd",0.39,0.1
"437","delphi","edywfkbd",0.57,0.6
"438","delphi","edywfkbd",0.6225,0.9
"439","delphi","edywfkbd",0.65,0.7
"440","delphi","edywfkbd",0.4275,0.4
"441","delphi","ptqseo0i",0.39,0.3
"442","delphi","ptqseo0i",0.51,0.8
"443","delphi","ptqseo0i",0.3075,0.4
"444","delphi","ptqseo0i",0.525,0.9
"445","delphi","ptqseo0i",0.3925,0.55
"446","delphi","ptqseo0i",0.5175,0.6
"447","delphi","ptqseo0i",0.51,0.7
"448","delphi","ptqseo0i",0.3325,0.1
"449","delphi","ptqseo0i",0.1625,0.2
"450","delphi","ptqseo0i",0.42,0.45
"451","delphi_ha","0zhk9p2i",0.4125,0.2
"452","delphi_ha","0zhk9p2i",0.4875,0.7
"453","delphi_ha","0zhk9p2i",0.25,0.45
"454","delphi_ha","0zhk9p2i",0.1,0.1
"455","delphi_ha","0zhk9p2i",0.65,0.3
"456","delphi_ha","0zhk9p2i",0.275,0.6
"457","delphi_ha","0zhk9p2i",0.2625,0.4
"458","delphi_ha","0zhk9p2i",0.625,0.9
"459","delphi_ha","0zhk9p2i",0.45,0.8
"460","delphi_ha","0zhk9p2i",0.3375,0.55
"461","delphi_ha","cn47q3x9",0.775,0.3
"462","delphi_ha","cn47q3x9",0.2625,0.1
"463","delphi_ha","cn47q3x9",0.5625,0.8
"464","delphi_ha","cn47q3x9",0.8625,0.9
"465","delphi_ha","cn47q3x9",0.4125,0.7
"466","delphi_ha","cn47q3x9",0.25,0.55
"467","delphi_ha","cn47q3x9",0.2375,0.4
"468","delphi_ha","cn47q3x9",0.375,0.6
"469","delphi_ha","cn47q3x9",0.2875,0.45
"470","delphi_ha","cn47q3x9",0.375,0.2
"471","delphi_ha","h8ljnlvd",0.2375,0.55
"472","delphi_ha","h8ljnlvd",0.8575,0.9
"473","delphi_ha","h8ljnlvd",0.5075,0.8
"474","delphi_ha","h8ljnlvd",0.8475,0.3
"475","delphi_ha","h8ljnlvd",0.4625,0.6
"476","delphi_ha","h8ljnlvd",0.15,0.1
"477","delphi_ha","h8ljnlvd",0.1125,0.45
"478","delphi_ha","h8ljnlvd",0.425,0.2
"479","delphi_ha","h8ljnlvd",0.275,0.7
"480","delphi_ha","h8ljnlvd",0.15,0.4
"481","delphi_ha","9imweqo4",0.6875,0.3
"482","delphi_ha","9imweqo4",0.525,0.7
"483","delphi_ha","9imweqo4",0.3,0.55
"484","delphi_ha","9imweqo4",0.3575,0.2
"485","delphi_ha","9imweqo4",0.275,0.1
"486","delphi_ha","9imweqo4",0.82,0.9
